ETER ID,Institution Name,Reference year,Country Code,Legal status,Institution Category standardized,Total staff (FTE),Total academic staff (FTE),Total students enrolled ISCED 5-7,R1,R2,Flag R1,Flag R2,Total academic staff (HC),Total staff (HC),R1a,R2a,Flag R1a,Flag R2a
BE0064,Erasmushogeschool Brussel,2016,BE,public,other,455.53,347.19,5374.0,15.478556410034852,0.7621671459618466,0,0,262.0,,20.51145038167939,,0,0
BE0066,Hogere Zeevaartschool,2016,BE,public,other,56.85,44.25,586.0,13.242937853107344,0.7783641160949868,0,0,,,,,0,0
BE0068,Hogeschool Gent,2016,BE,public,other,950.61,684.69,13159.0,19.21891658998963,0.7202638305929877,0,0,65.0,,202.44615384615383,,0,0
BE0071,Hogeschool West-Vlaanderen,2016,BE,public,other,336.21,267.36,5388.0,20.152603231597844,0.7952172749174624,0,0,413.0,,13.04600484261501,,0,0
BE0072,LUCA School of Arts,2016,BE,private government dependent,other,359.8,260.45,3029.0,11.62987137646381,0.7238743746525848,0,0,1188.0,,2.5496632996633,,0,0
BE0073,Karel de Grote-Hogeschool - Katholieke Hogeschool Antwerpen,2016,BE,private government dependent,other,767.35,547.72,11812.0,21.56576352881034,0.7137811950218284,0,0,,,,,0,0
BE0074,Katholieke Hogeschool Vives Noord,2016,BE,private government dependent,other,258.67,204.17,3405.0,16.677278738306313,0.7893068388293965,0,0,234.0,,14.551282051282053,,0,0
BE0075,Thomas More Kempen,2016,BE,private government dependent,other,454.03,398.83,7414.0,18.589373918712234,0.8784221306962096,0,0,783.0,,9.468710089399744,,0,0
BE0076,UC Leuven,2016,BE,private government dependent,other,557.95,432.58,8375.0,19.3605807018355,0.7753024464557755,0,0,223.0,,37.55605381165919,,0,0
BE0077,UC Limburg,2016,BE,private government dependent,other,400.7,296.95,4655.0,15.676039737329516,0.7410781133017221,0,0,134.0,,34.73880597014925,,0,0
BE0080,Katholieke Hogeschool Vives Zuid,2016,BE,private government dependent,other,569.62,465.62,8310.0,17.847171513251148,0.8174221410765071,0,0,95.0,,87.47368421052632,,0,0
BE0090,ODISEE,2016,BE,private government dependent,other,668.06,458.45,9549.0,20.82887992147453,0.6862407568182499,0,0,3339.0,,2.8598382749326148,,0,0
BE0091,AP Hogeschool Antwerpen,2016,BE,public,other,665.94,474.12,10537.0,22.224331392896318,0.7119560320749616,0,0,819.0,,12.865689865689864,,0,0
BE0092,Hogeschool PXL,2016,BE,public,other,513.28,452.06,7434.0,16.444719727469803,0.880727867830424,0,0,451.0,,16.483370288248338,,0,0
BE0093,Thomas More Mechelen-Antwerpen,2016,BE,private government dependent,other,428.09,343.74,7310.0,21.266073194856574,0.80296199397323,0,0,1525.0,,4.7934426229508205,,0,0
BG0001,"Югозападен университет ""Неофит Рилски""",2016,BG,public,uas,872.45,551.45,9350.0,16.95529966452081,0.6320706057653734,0,0,289.0,,32.35294117647059,,0,0
BG0002,Американски университет в България,2016,BG,private,uas,327.65,73.65,990.0,13.441955193482688,0.22478254234701667,0,1,1574.0,,0.6289707750952986,,0,1
BG0003,Колеж по туризъм - Благоевград,2016,BG,private,other,33.0,21.5,568.0,26.41860465116279,0.6515151515151515,0,0,553.0,,1.0271247739602172,,0,0
BG0004,Университет “Проф. д-р Асен Златаров”,2016,BG,public,uas,497.51,311.51,5216.0,16.744245770601264,0.6261381680770236,0,0,221.0,,23.60180995475113,,0,0
BG0005,Бургаски свободен университет,2016,BG,private,uas,165.23,103.23,1926.0,18.657367044463815,0.6247654784240151,0,0,257.0,,7.494163424124514,,0,0
BG0006,Икономически университет - Варна,2016,BG,public,uas,560.45,336.45,8597.0,25.552087977411205,0.6003211704880006,0,0,197.0,,43.639593908629436,,0,0
BG0007,Технически университет - Варна,2016,BG,public,uas,633.28,324.28,5283.0,16.29147650178858,0.5120641738251642,0,0,1218.0,,4.33743842364532,,0,0
BG0008,"Медицински университет ""проф. д-р Параскев Стоянов""",2016,BG,public,uas,1167.82,715.32,4807.0,6.7200693395962645,0.6125259029644979,0,0,109.0,,44.100917431192656,,0,0
BG0009,"Варненски свободен университет ""Черноризец Храбър""",2016,BG,private,uas,294.83,163.83,6177.0,37.70371726789965,0.5556761523589866,1,0,176.0,,35.09659090909091,,1,0
BG0010,"Висше военноморско училище ""Н. Й. Вапцаров""",2016,BG,public,uas,191.95,152.95,3092.0,20.215756783262503,0.7968220890856994,0,0,106.0,,29.169811320754718,,0,0
BG0011,"Великотърновски университет ""Св. св. Кирил и Методий""",2016,BG,public,uas,978.59,722.59,9818.0,13.587234808120787,0.7383991252720752,0,0,127.0,,77.30708661417323,,0,0
BG0012,Националeн военен университет “Васил Левски,2016,BG,public,uas,339.26,236.26,2290.0,9.692711419622448,0.6963980427990332,0,0,133.0,,17.218045112781954,,0,0
BG0013,"Стопанска академия ""Д. А. Ценов"" - Свищов",2016,BG,public,uas,534.4,235.4,8478.0,36.01529311809686,0.4404940119760479,1,1,72.0,,117.75,,1,1
